Region,Province,Product,Species,System,Functional_unit,Normalized_product_output_kg,ch4_enteric_kg_per_kg_product,ch4_manure_kg_per_kg_product,n2o_direct_kg_per_kg_product,total_direct_gas_kg_per_kg_product,water_l_per_kg_product,electricity_kwh_per_kg_product,area_ha_per_kg_product,total_feed_kg_per_kg_product,supplement_feed_kg_per_kg_product,pasture_feed_kg_per_kg_product,unmatched_pasture_feed_kg_per_kg_product,nh3_total_kg_per_kg_product,nh3_housing_kg_per_kg_product,nh3_grazing_kg_per_kg_product,nox_as_no2_kg_per_kg_product,animals_total_live_weight_kg_per_kg_product
Costa,MANABÍ,eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047031987630587,0.0007054798144587,0.0054086785775174,6.466898299205747,0.117579969076468,1.3256773598777689e-07,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918092,0.0010864389142664,0.0004656166775427,0.0002821919257835,0.1224120226001585
Costa,MANABÍ,meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.0165562562725562,0.0024834384408833,0.0190396947134396,22.764852374764867,0.4139064068139065,1.753522060798031e-05,5.629127132669131,5.629127132669131,0.0,0.0,0.0054635645699435,0.0038244951989604,0.001639069370983,0.0009933753763533,1.0
Costa,MANABÍ,milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0546054551558942,0.0049641322868994,0.0002978479372139,0.0598674353800076,11.169297645523828,0.1489239686069843,9.38302373958834e-05,2.4820661434497397,0.9928264573798958,1.4892396860698438,0.2233859529104765,0.0006552654618706,0.0004586858233094,0.0001965796385611,0.0001191391748855,0.3400090607465396
Costa,MANABÍ,other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0392326475748648,0.0098081618937161,0.0004904080946857,0.0495312175632669,23.53958854491896,0.0196163237874324,0.0010168991385992,3.9232647574864936,1.9616323787432468,1.9616323787432468,0.294244856811487,0.0010788978083087,0.000755228465816,0.0003236693424926,0.0001961632378742,1.0
Costa,MANABÍ,swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.0639931963614099,0.0959897945421148,0.0019197958908422,0.1619027867943671,44.79523745298695,0.1919795890842298,0.001090081645372,14.078503199510187,9.85495223965713,0.0,0.0,0.004223550959853,0.0029564856718971,0.0012670652879558,0.0007679183563368,1.0
Costa,SANTA ELENA,cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.2093678590764019,0.0190334417342183,0.001142006504053,0.2295433073146733,42.825243901991314,0.5710032520265509,0.0019831049897895,9.51672086710918,3.8066883468436727,5.710032520265508,0.8565048780398263,0.0025124143089167,0.0017586900162417,0.0007537242926749,0.0004568026016211,1.0
Costa,SANTA ELENA,eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047031987630587,0.0007054798144587,0.0054086785775175,6.466898299205748,0.1175799690764681,0.0,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918093,0.0010864389142665,0.0004656166775428,0.0002821919257835,0.1224120226001586
Costa,SANTA ELENA,meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.0123394173088893,0.0018509125963333,0.0141903299052226,16.966698799722824,0.3084854327222331,0.0,4.195401885022371,4.195401885022371,0.0,0.0,0.0040720077119334,0.0028504053983533,0.00122160231358,0.0007403650385333,1.0
Costa,SANTA ELENA,milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0647231593733357,0.0058839235793941,0.0003530354147635,0.0709601183674936,13.23882805363687,0.1765177073818249,0.0004586827905215,2.9419617896970824,1.176784715878833,1.7651770738182493,0.2647765610727374,0.00077667791248,0.000543674538736,0.0002330033737439,0.0001412141659054,0.403008464342066
Costa,SANTA ELENA,other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0546032224447335,0.0136508056111833,0.0006825402805591,0.068936568336476,32.761933466840134,0.0273016112223667,0.0216020852652526,5.460322244473356,2.730161122236678,2.730161122236678,0.4095241683355016,0.0015015886172301,0.001051112032061,0.000450476585169,0.0002730161122236,1.0
