metric,domain,source_summary_file,source_inventory_level,source_key,n,sheet_name,figure_id
CHIRIMOYA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,chirimoya,4.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CHOCHO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,chocho,176.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CILANTRO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cilantro,147.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CIRUELO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,ciruelo,14.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CLAUDIA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,claudia,78.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
COCO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,coco,69.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
COL,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,col,82.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
COLIFLOR,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,coliflor,21.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
DURAZNO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,durazno,22.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
ESPARRAGO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,esparrago,4.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
FREJOL SECO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,pulses_oilseeds,,individual tropical crops,individual_tropical_crops_grouped_lollipop
FREJOL TIERNO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frejol tierno,295.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
FRUTILLAS O FRESAS,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frutillas o fresas,59.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
GRAMALOTE,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures,,individual tropical crops,individual_tropical_crops_grouped_lollipop
GRANADILLA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,granadilla,66.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
GUABA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guaba,7.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
GUANABANA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guanabana,12.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
GUAYABA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guayaba,9.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
