metric_col,crop_display,crop_candidate,impact_value,Category,crop_norm,crop_group,n_crop,Yield_kgha,crop_base_norm,n_crop_base,crop_group_norm,n_crop_group,n_crop_dp_exact,n_crop_dp_base,n_crop_final,n,n_source,source_summary_file,source_inventory_level,source_key,Yield_kgha_plot,Yield_kgha_jitter
crop_esparrago_category_permanent_summary_strategy_3,ESPARRAGO,ESPARRAGO,1.2528753,permanent,esparrago,vegetables,4.0,4000.0,esparrago,4.0,vegetables,2143,4.0,4.0,4.0,4.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,esparrago,4000.0,3695.5555725708114
crop_frejol_seco_grano_seco_category_transitory_summary_strategy_3,FREJOL SECO,FREJOL SECO,3.234506595,transitory,frejol seco,pulses_oilseeds,,,frejol seco,,pulses_oilseeds,2888,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,pulses_oilseeds,5457.963089542034,5803.0302317884725
crop_frejol_tierno_grano_tierno_category_transitory_summary_strategy_3,FREJOL TIERNO,FREJOL TIERNO,1.63373685,transitory,frejol tierno,pulses_oilseeds,,,frejol tierno,,pulses_oilseeds,2888,295.0,295.0,295.0,295.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frejol tierno,5457.963089542034,5420.203079469433
crop_frutillas_o_fresas_category_permanent_summary_strategy_3,FRUTILLAS O FRESAS,FRUTILLAS O FRESAS,0.23655592,permanent,frutillas o fresas,fruits,59.0,14727.27272727272,frutillas o fresas,59.0,fruits,5571,49.0,49.0,59.0,59.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frutillas o fresas,14727.27272727272,14564.68381865243
crop_gramalote_category_cultivated_pasture_summary_strategy_3,GRAMALOTE,GRAMALOTE,0.14918843,cultivated_pasture,gramalote,forages_pastures,,,gramalote,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures,5457.963089542034,5303.747619111627
crop_granadilla_category_permanent_summary_strategy_3,GRANADILLA,GRANADILLA,0.66388111,permanent,granadilla,fruits,66.0,5102.272727272733,granadilla,66.0,fruits,5571,57.0,57.0,66.0,66.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,granadilla,5102.272727272733,5087.4652529854
crop_guaba_category_permanent_summary_strategy_3,GUABA,GUABA,3.4090127,permanent,guaba,fruits,7.0,818.1818181818179,guaba,7.0,fruits,5571,3.0,3.0,7.0,7.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guaba,818.1818181818179,723.3965052337426
crop_guanabana_category_permanent_summary_strategy_3,GUANABANA,GUANABANA,0.61468039,permanent,guanabana,fruits,12.0,4090.9090909091,guanabana,12.0,fruits,5571,10.0,10.0,12.0,12.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guanabana,4090.9090909091,4643.501154675176
crop_guayaba_category_permanent_summary_strategy_3,GUAYABA,GUAYABA,0.10812093,permanent,guayaba,fruits,9.0,12370.129870129873,guayaba,9.0,fruits,5571,7.0,7.0,9.0,9.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guayaba,12370.129870129873,12196.821219660611
crop_haba_seca_grano_seco_category_transitory_summary_strategy_3,HABA SECA,HABA SECA,8.7971892,transitory,haba seca,pulses_oilseeds,,,haba seca,,pulses_oilseeds,2888,265.0,265.0,265.0,265.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,haba seca,5457.963089542034,5465.831861895722
crop_haba_tierna_grano_tierno_category_transitory_summary_strategy_3,HABA TIERNA,HABA TIERNA,0.8786468350000001,transitory,haba tierna,pulses_oilseeds,,,haba tierna,,pulses_oilseeds,2888,340.0,340.0,340.0,340.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,haba tierna,5457.963089542034,5464.731980042846
crop_huerto_frutal_category_permanent_summary_strategy_3,HUERTO FRUTAL,HUERTO FRUTAL,0.48703455500000004,permanent,huerto frutal,fruits,875.0,7272.727272727269,huerto frutal,875.0,fruits,5571,837.0,837.0,875.0,875.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,huerto frutal,7272.727272727269,7279.549790211034
crop_huerto_horticola_category_transitory_summary_strategy_3,HUERTO HORTICOLA,HUERTO HORTICOLA,2.1204489,transitory,huerto horticola,vegetables,,,huerto horticola,,vegetables,2143,347.0,347.0,347.0,347.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,huerto horticola,5457.963089542034,5471.318935309343
