dano_de_categoria_puntuacion_unica,unidad_pt,promedio_5_8269244,mediana_6_0990465,sd_4_199662,cv_72_073391,0_025_4_4993868,0_975_13_783837,sem_0_13280497,roots_tubers_summary_strategy_8,potato_cn_potato_production_cut_off_u,vegetables_summary_strategy_8,fruits_summary_strategy_8,peanut_ar_peanut_production_cut_off_u,pulses_oilseeds_summary_strategy_8,beans_dry_market_mix_at_regional_storage_rer_economic,product_milk_summary_strategy_9,product_meat_poultry_summary_strategy_9,landed_tuna_frozen_epo_ec_tuna_capture_by_purse_seiner_and_landing_whole_frozen_cut_off_u,shrimp_or_prawn_raw_processed_in_fr_chilled_ps_at_distribution_fr_u,product_eggs_summary_strategy_9,product_cattle_live_summary_strategy_9,product_swine_live_summary_strategy_9,refined_sunflower_oil_solvent_at_processing_ar_economic,pulses_oilseeds_summary_strategy_8_2,butter_from_cow_milk_glo_market_for_butter_from_cow_milk_cut_off_u,fruit_soft_drink_carbonated_less_than_10_of_fruit_juice_with_sugar_processed_in_fr_chilled_pet_at_distribution_fr_u,salt_glo_market_for_salt_cut_off_u,beer_regular_4_5_degrees_alcohol_at_plant_fr_u,caen_style_tripe_at_plant_fr_u,salty_snacks_crackers_plain_at_plant_fr_u
,9,"Heat, district or industrial, natural gas {RoW}| heat production, natural gas, at industrial furnace >100kW | Cut-off, S - Copied from ecoinvent U",Agri-footprint - economic - unit,Pt,0.063193049,0,0,0.0063690278,0,0,0,0,0,0,0,0.0088854182,0.026752583,0,0,4.856198e-09,0,0.021186015,0,0,0,0,0,0,0,0
,10,"Cow milk {RoW}| milk production, from cow | Cut-off, U","Ecoinvent 3 - allocation, cut-off by classification - unit",Pt,0.062396945,0,2.3709107e-22,0,1.3310555e-22,6.9111874e-24,7.9812872e-23,6.1764903e-23,1.1869762e-23,1.8454895e-23,0,1.2472679e-22,9.7722753e-23,5.5224731e-23,0,1.3596728e-24,5.8090668e-26,1.3854685e-23,0,3.0758158e-23,0.062396945,0,1.6869121e-25,0,0,0
,11,cereals | summary: strategy_8,Ecuador_needs,Pt,0.060402712,0,0.060402712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,"Diesel, burned in fishing vessel {GLO}| diesel, burned in fishing vessel | Cut-off, U","Ecoinvent 3 - allocation, cut-off by classification - unit",Pt,0.056417879,0,1.637341e-12,0,8.564111e-13,7.0756751e-15,5.5179885e-13,3.6972337e-13,4.2025114e-15,1.2206914e-13,0,6.8330863e-13,7.4051722e-14,0.056417878,0,1.2974427e-15,3.2695324e-16,1.0502211e-14,0,2.0344856e-13,9.1638215e-10,0,5.2387465e-16,0,0,0
,13,product: meat_poultry | summary: strategy_9,Ecuador_needs,Pt,0.046387064,0,0,0,0,0,0,0,0,0,0,0,0.046387056,0,0,8.4202982e-09,0,0,0,0,0,0,0,0,0,0
,14,"Soybeans, start material, at seed production {BR} Economic, U",Agri-footprint - economic - unit,Pt,0.035183026,0,0,0,0,0,0,0,0,0,0,0.0052580471,0.020138844,0,0,3.655655e-09,0,0.0097861312,0,0,0,0,0,0,0,0
,15,"Silage maize, conventional, national average, animal feed, at farm gate, production {FR} U",AGRIBALYSE - Unit,Pt,-0.043240403,0,-0.0017492083,0,-0.0050365586,0,-0.0076376038,-0.00027114631,0,-0.00038712532,0,0,0,0,0,-1.4937941e-07,0,0,0,-0.00064520886,0,-7.1702964e-07,0,0,-0.027512091,-5.9457516e-07
,16,"Grazed grass, permanent meadow, without clover, Auvergne, on field {FR} U",AGRIBALYSE - Unit,Pt,-0.046577184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046577184,0
,17,"Grazed grass, permanent meadow, without clover, Northwestern region, on field {FR} U",AGRIBALYSE - Unit,Pt,-0.062559606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062559606,0
,18,"Wheat straw, animal feed, average practices {FR} U",AGRIBALYSE - Unit,Pt,-0.086732519,0,-0.0063173866,0,-0.018185268,0,-0.027586175,-0.00097836809,0,-0.0013981399,0,0,0,0,0,-4.826734e-05,0,0,0,-0.0023302332,0,-0.00023476049,0,-5.6698532e-05,-0.029405103,-0.00019211858
,Calculation: ,Analizar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Results: ,Contribución proceso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product: ,"1 kg 3. Ecuadorian diet, EAT-Lancet, g, selective (del proyecto Ecuador_needs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Método: ,IMPACT World+ Expert 2.2.1 (incl. CO2 uptake) V2.02 / IMPACT World+ (Stepwise 2006 values),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indicador: ,Puntuación única,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cortar: ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Default units: ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Excluir procesos de infrastructura: ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Excluir emisiones a largo plazo: ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sorted on item: ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sort order: ,Descendente,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,Proceso,Proyecto,Unidad,Total,"3. Ecuadorian diet, EAT-Lancet, g, selective",cereals | summary: strategy_8,"Wheat grain, at farm {CA} Economic, U",roots_tubers | summary: strategy_8,vegetables | summary: strategy_8,"Tomato, fresh grade {GLO}| market for tomato, fresh grade | Cut-off, U",fruits | summary: strategy_8,"Peanut {AR}| peanut production | Cut-off, U",pulses_oilseeds | summary: strategy_8,"Beans, dry, market mix, at regional storage/RER Economic",product: milk | summary: strategy_9,product: meat_poultry | summary: strategy_9,"Landed tuna, frozen, EPO {EC}| tuna, capture by purse seiner and landing whole, frozen | Cut-off, U","Shrimp or prawn, raw, processed in FR | Chilled | PS | at distribution {FR} U",product: eggs | summary: strategy_9,product: cattle_live | summary: strategy_9,product: swine_live | summary: strategy_9,"Refined sunflower oil (solvent), at processing/AR Economic","Salt {GLO}| market for salt | Cut-off, U",,,,,,
,,El total de todos los procesos,,Pt,2.6728154,0,0.077556088,0.10458569,0.021401208,0.010407006,0.13243708,0.086940184,0.15386418,0.0082279708,0.24461651,0.55893398,0.61684798,0.15071562,0.050945318,0.0021839131,0.027677913,0.31678495,0.10848583,0.00020401659,,,,,,
