count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Straw_kgha,Export_straw_percent,Irrig_m3,Water_source,Irrig_equipment,Packaging_type1,Packaging_type1_kgha,Packaging_type2,Packaging_type2_kgha,Fuel_type,Fuel_unit,Fuel_ha,Urea_kgha,NPK_kgha,NPK_N_percent,NPK_P_percent,NPK_K_percent,MAP_kgha,UAN_kgha,AN_kgha,AP_kgha,AS_kgha,CAN_kgha,Total_fert_min_kgha,Manure_kgha,Manure_type,Compost_kg_ha,Digestate_kg_ha,Total_fert_org_kgha,N_tot,N_min,N_orga,P_tot,P_min,P_orga,K_tot,K_min,K_orga,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Acaricide_kgha,Biocide_NE_kgha,Total_pesticides_kgha,Seed_kgha,Equipement_phyto,Molecule_name_1,Dose_kgha_1,Phase_application_1,Molecule_name_2,Dose_kgha_2,Phase_application_2,Molecule_name_3,Dose_kgha_3,Phase_application_3,Molecule_name_4,Dose_kgha_4,Phase_application_4,Molecule_name_5,Dose_kgha_5,Phase_application_5,Molecule_name_6,Dose_kgha_6,Phase_application_6,Molecule_name_7,Dose_kgha_7,Phase_application_7,Molecule_name_8,Dose_kgha_8,Phase_application_8,Molecule_name_9,Dose_kgha_9,Phase_application_9,Transport_1,Transport_type_1,Transport_tkm_1,Transport_2,Transport_type_2,Transport_tkm_2,Transport_3,Transport_type_3,Transport_tkm_3,Transport_4,Transport_type_4,Transport_tkm_4,Transport_tkm,Transport_type,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
57,sierra,CARCHI,OTROS TRANSITORIOS,transitory,2024-01-01,2024-06-01,5.0,0.74,13774.104683195555,,,7500.0,,sin riego,QUINTAL,,BULBO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,,226.796185,,,,,,251.9957611111111,251.9957611111111,50.0,,200.0,0.0,,,,0.0,,,,,,,,,,2.3099788055555557,1.6,2.4,0.0,0.0,0.25,227.27272727272802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4535.9237,,111.11111111111111
80,sierra,CARCHI,PAPA,transitory,2024-01-01,2024-12-01,11.0,1.0,22727.272727272775,,,0.0,,sin riego,QUINTAL,,TUBERCULO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,,907.18474,,,,,,23.453079000000002,60.47898266666667,150.0,,907.18474,0.0,,,,0.0,,,,,,,,,,6.857142857142858,1.8,5.0,0.0,0.0,11.0,7575.757575757601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.171115,1814.36948,
1,sierra,CARCHI,PIÑA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,20420.4545454546,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,sierra,CARCHI,PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.1,8181.818181818174,,,0.0,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,100.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,4.5,11.11111111111111,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sierra,CARCHI,QUINUA,transitory,2024-01-01,2024-08-01,7.0,1.5,1969.6969696969666,,,0.0,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,,90.718474,,,,,,90.718474,,,,151.19745666666668,0.0,,,,0.0,,,,,,,,,,2.0,0.6666666666666666,,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sierra,CARCHI,TOMATE RIÑON,transitory,2024-08-01,2024-12-01,4.0,0.25,48863.63636363641,,,8365.384615384615,,aspersi?n,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5856.4935000000005,,,,,,,,,,,,0.0,333.33333333333337,,,,333.33333333333337,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.6666666666667,,
10,sierra,CARCHI,TRIGO,transitory,2024-03-01,2024-09-01,6.0,10.0,3349.8927569707985,,,4615.384615384615,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1447.4865,,204.1165665,,,,,,181.436948,,,,204.1165665,0.0,,,,0.0,,,,,,,,,,1.574107683000605,1.0,1.0,0.0,0.0,2.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.77711,12.5,
10,sierra,CARCHI,YUCA,transitory,2024-03-01,2024-09-01,6.0,0.37,1090.9090909090899,,,0.0,,sin riego,QUINTAL,,RAIZ FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,5.714285714285714,8.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sierra,CAÑAR,ARVEJA SECA (GRANO SECO),transitory,2023-11-01,2024-07-01,8.0,0.2,615.5303030303025,,,9230.76923076923,,aspersi?n,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,37.79936416666667,,,,,,,,2.0833333333333335,,19.941348750000003,0.0,,,,0.0,,,,,,,,,,2.0833333333333335,,2.0833333333333335,0.0,0.0,2.0833333333333335,1.4204545454545467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,sierra,CAÑAR,ARVEJA TIERNA (VAINA),transitory,2024-05-01,2024-09-01,4.0,0.11,681.8181818181813,,,9230.76923076923,,aspersi?n,QUINTAL,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,38.38089284615385,,,,,,40.8233133,,3.846153846153846,,0.0,0.0,,,,0.0,,,,,,,,,,1.923076923076923,0.7,1.923076923076923,0.0,0.0,0.0,3.4090909090909065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.48569375,,
